trial,exploration,wideningC,wideningAlpha,floor,win,objective
0,9.9,4.6,0.37,29.105,0.0225,29.6675
1,9.9,2.0,0.37,29.115,0.015,29.49
2,4.24,1.0,0.5,27.3475,0.015,27.7225
3,3.1084897957237185,3.223681864480328,0.46584135205675875,26.735,0.01,26.985
4,12.200807622017217,5.172993427146568,0.3089629750185095,29.695,0.025,30.32
5,3.7800213327421175,5.523695886759337,0.9602323859995199,27.125,0.02,27.625
6,15.03012631293946,1.4604981309148681,0.5259453692472857,28.77,0.02,29.27
7,9.649236052771778,4.228795848302317,0.40173821705087515,29.4425,0.0175,29.88
8,7.28158932925646,2.2568167304622437,0.06308002711114813,27.39,0.0175,27.8275
9,11.853773301386727,7.035786765441154,0.3966416847063036,29.0225,0.03,29.7725
10,12.778132906052914,8.373605636901935,0.8404771256313996,29.4125,0.0225,29.975
11,12.093474613766062,7.14903935328419,0.8922323607133322,29.11,0.02,29.61
12,17.412485257727823,8.626356310693744,0.6234429117315035,28.8,0.0175,29.2375
13,16.952762244752375,2.4782186851290757,0.8907762827813341,28.69,0.0175,29.1275
14,3.7136764949780483,1.3776900291077043,0.9811365461682846,26.75,0.01,27.0
15,5.049760733724244,8.568835443107313,0.5342070820247904,27.275,0.0225,27.8375
16,11.168426328188078,7.892304950338939,0.07169659010594542,29.2025,0.0125,29.515
17,7.4947851536360774,9.999187857418056,0.7151955737676763,28.8075,0.025,29.4325
18,2.5444714309595136,0.860099327675049,0.05887107939395442,25.31,0.005,25.435
19,11.81887862259171,0.5629119441080318,0.8332693367247613,29.4575,0.03,30.2075
20,8.914785264235357,0.5754271355861614,0.952220606654337,28.565,0.015,28.94
21,19.008483634642225,0.5473429893299405,0.5503003250150295,28.405,0.02,28.905
22,10.110262292953873,0.5422542728866309,0.7238682510237778,28.405,0.02,28.905
23,17.581190746519464,0.6411098507551305,0.8463738820367882,28.5675,0.0275,29.255
24,2.9052593697104028,9.652138328563217,0.20101731693989666,27.1375,0.0125,27.45
25,15.464029489109548,0.8891122729735432,0.0844745187591247,27.1525,0.0125,27.465
26,17.75231608446968,4.74655419556548,0.24978076661380744,29.155,0.0275,29.8425
27,8.041279736397195,2.434334627993443,0.6286877059838949,29.04,0.025,29.665
28,5.606695159187147,0.5302278516136332,0.715062149193084,27.7625,0.015,28.1375
29,6.0956418668907615,4.945926824941118,0.2805748444879659,27.9225,0.0175,28.36
30,18.133774587925604,7.637488009210978,0.9941693335716335,28.92,0.02,29.42
31,9.112610949413785,4.357345408080086,0.5185470157667308,29.155,0.0275,29.8425
32,11.621256462293575,2.8993867171210637,0.39704449727011554,28.585,0.0175,29.0225
33,10.134941097894556,7.777258731880121,0.3355123876307894,28.8175,0.0225,29.38
34,8.422430510564778,3.1298308411694427,0.9825497948619546,28.2775,0.015,28.6525
35,9.998738996580386,4.592079001605254,0.2794205694269154,28.635,0.02,29.135
36,16.03712279127308,8.12327476415822,0.7687220343546979,29.1975,0.015,29.5725
37,18.546793872819006,3.702759609594365,0.5238889195526526,29.6225,0.025,30.2475
38,16.780607058726257,3.2250552431871804,0.47612503934388933,28.7525,0.0175,29.19
40,19.173372288681307,2.189683487187306,0.5741775325501158,29.4075,0.02,29.9075
41,13.045237461749805,0.9298493759571942,0.8612685179465458,29.6275,0.0175,30.065
42,10.722855059144875,0.8911023890298891,0.9046322870034185,28.7725,0.03,29.5225
43,13.352099435317973,0.8070291792663584,0.8333266826180706,29.1375,0.02,29.6375
44,16.832566005584017,1.0497100779186357,0.680272525279154,29.015,0.025,29.64
45,16.238129237274777,1.270994448517667,0.8782176936982291,28.5175,0.0225,29.08
46,2.0710135156780054,0.5288734880431395,0.44293664592093096,25.67,0.0075,25.8575
47,9.61941923597724,9.99970051763245,0.9747817349017518,28.9475,0.02,29.4475
48,9.33380477775255,1.0759272367236004,0.6717534668214715,28.4525,0.0175,28.89
49,15.889698496508187,3.482750002549477,0.6741380690035775,28.985,0.0225,29.5475
50,7.494779542991023,1.4153923559718076,0.8341014355634178,28.7325,0.0175,29.17
