budget,limit,lossDamageWeight,exploration,explorationChance,monsterDamage,lossAbsoluteHp,cardEps,potionEps,mean,winrate,avghp,n
1000,1000,0.005747,18.306776,32.934302,25.653942,1,348,260,-0.214,0.784,33.1926,1000
1000,1000,0.008256,41.764105,29.867240,25.780354,1,238,197,5.882,0.807,34.5452,1000
1000,1000,0.150794,32.561100,38.802355,72.775123,1,390,216,4.233,0.799,34.6245,1000
1000,1000,0.051836,17.298998,17.780156,38.305362,0,54,69,4.805,0.797,35.3137,1000
1000,1000,0.190129,27.715327,40.404970,71.093651,1,250,183,4.992,0.803,32.9066,1000
1000,1000,0.101918,34.469039,58.518006,34.841676,1,343,189,3.568,0.802,30.2244,1000
1000,1000,0.069282,59.301230,32.488454,29.547311,1,309,35,0.663,0.785,34.2357,1000
1000,1000,0.021568,39.362886,9.727666,23.354531,1,374,295,-3.928,0.773,34.4308,1000
1000,1000,0.079447,50.283918,9.713037,40.077941,0,18,42,-6.925,0.758,34.0066,1000
1000,1000,0.015180,56.259066,32.292201,22.800943,1,269,312,3.575,0.801,34.5031,1000
1000,1000,0.076316,59.854833,42.989168,32.814408,1,398,114,3.601,0.798,34.6591,1000
1000,1000,0.021146,7.653404,18.694514,37.360533,0,175,32,-1.473,0.774,33.7093,1000
1000,1000,0.094456,3.304880,58.478374,17.910115,0,71,210,-40.656,0.653,20.8882,1000
1000,1000,0.142267,8.054715,33.124108,117.582211,1,151,364,-9.665,0.754,30.187,1000
1000,1000,0.074357,10.681250,17.849443,18.699477,0,119,16,4.986,0.798,33.3095,1000
1000,1000,0.053037,49.982619,22.678872,37.269124,1,339,216,-0.012,0.786,34.8791,1000
1000,1000,0.016592,50.898841,27.108252,50.208293,1,246,222,0.867,0.79,34.5329,1000
1000,1000,0.064256,43.461375,33.794795,55.590302,1,356,10,5.19,0.8,33.7938,1000
1000,1000,0.145846,40.682696,53.972198,54.158891,0,300,158,-8.722,0.745,34.4765,1000
1000,1000,0.102015,16.287775,18.976849,39.556999,0,162,105,2.37,0.789,35.1381,1000
1000,1000,0.026489,33.621026,57.360947,49.835903,1,263,254,1.247,0.795,30.3409,1000
1000,1000,0.095882,30.424273,9.404619,24.512694,0,106,3,0.2,0.78,34.3859,1000
1000,1000,0.171623,44.351374,59.631741,61.381522,1,313,208,3.514,0.798,33.109,1000
1000,1000,0.020176,44.549806,47.616753,51.682045,0,198,241,5.261,0.8,36.2325,1000
1000,1000,0.007965,29.534462,27.824470,89.545219,1,100,288,0.454,0.786,34.4275,1000
1000,1000,0.001949,52.729767,15.110155,58.050543,1,399,131,-6.003,0.763,34.806,1000
1000,1000,0.106001,43.366401,22.819643,10.138843,0,236,192,-0.661,0.782,35.3299,1000
1000,1000,0.033080,26.464294,33.481249,27.150492,0,286,25,7.968,0.809,33.8986,1000
1000,1000,0.045831,51.073049,23.435204,34.674049,0,369,111,-0.58,0.782,34.7928,1000
1000,1000,0.033087,33.904968,26.648900,14.903045,0,268,47,3.443,0.794,34.8463,1000
1000,1000,0.035211,17.280997,51.005236,26.842359,0,225,86,-9.762,0.756,27.0661,1000
1000,1000,0.036640,17.882887,37.665689,23.270125,0,337,76,-0.369,0.782,32.2967,1000
1000,1000,0.133821,20.127802,7.578734,58.831599,1,39,27,-2.27,0.773,34.2005,1000
1000,1000,0.006873,18.838969,15.369417,63.300900,0,277,6,1.899,0.782,34.9054,1000
1000,1000,0.163626,3.933757,4.569272,54.268355,1,189,230,-12.521,0.737,35.0421,1000
1000,1000,0.031372,41.288095,50.221772,24.969654,0,313,9,3.001,0.789,33.6895,1000
1000,1000,0.063501,25.456825,31.759702,17.600374,1,244,265,9.609,0.82,34.1732,1000
1000,1000,0.100301,12.821074,40.813078,11.907010,1,177,232,-4.641,0.772,29.5972,1000
1000,1000,0.059902,19.150501,14.091468,16.491878,1,260,271,6.879,0.812,34.165,1000
1000,1000,0.140559,44.621843,54.222538,27.155142,1,396,134,5.531,0.804,33.9888,1000
1000,1000,0.051175,23.998294,31.060323,21.202453,1,172,298,5.7,0.805,34.1019,1000
1000,1000,0.090170,57.577613,24.303311,48.567483,0,170,19,-4.572,0.761,34.6124,1000
1000,1000,0.073970,3.461784,4.560781,115.558880,1,321,337,-16.216,0.725,35.1931,1000
1000,1000,0.066354,12.544298,10.440319,27.746905,1,171,17,-0.475,0.78,33.7064,1000
