seed,won,floor
50000405,0,42
50000392,0,55
50000399,0,46
50000414,0,33
50000394,1,55
50000403,0,50
50000416,0,33
50000401,1,55
50000425,0,24
50000410,0,45
50000413,0,50
50000400,0,55
50000397,0,55
50000402,0,55
50000421,0,40
50000422,0,33
50000406,1,55
50000433,0,22
50000432,0,30
50000408,1,55
50000428,0,33
50000419,1,51
50000434,0,31
50000417,0,55
50000438,0,24
50000395,1,55
50000409,1,55
50000418,0,55
50000431,0,33
50000412,1,55
50000442,0,23
50000456,0,12
50000423,0,55
50000448,0,25
50000427,0,55
50000459,0,10
50000420,1,55
50000426,0,55
50000437,0,33
50000424,0,55
50000458,0,16
50000429,0,55
50000430,1,55
50000440,0,41
50000443,0,35
50000446,0,33
50000450,0,33
50000447,0,40
50000436,0,55
50000457,0,31
50000465,0,16
50000435,0,55
50000455,0,44
50000473,0,25
50000474,0,22
50000444,0,55
50000445,1,55
50000441,1,55
50000454,0,55
50000449,0,55
50000468,0,33
50000439,1,55
50000451,0,55
50000469,0,33
50000452,1,55
50000453,0,54
50000477,0,33
50000464,0,50
50000460,1,55
50000463,0,55
50000461,0,55
50000472,1,51
50000480,0,47
50000483,0,29
50000462,0,45
50000471,1,55
50000467,0,55
50000470,0,55
50000479,0,54
50000466,0,55
50000492,0,30
50000497,0,16
50000488,0,33
50000476,1,55
50000482,0,46
50000498,0,27
50000484,1,55
50000491,0,50
50000481,0,55
50000505,0,24
50000478,1,55
50000489,0,50
50000495,0,33
50000506,0,22
50000490,0,55
50000501,0,33
50000485,1,55
50000515,0,16
50000499,0,55
50000493,0,54
50000487,1,55
50000500,1,51
50000486,1,55
50000508,0,50
50000517,0,25
50000520,0,25
50000530,0,6
50000496,0,55
50000503,0,55
50000494,0,55
50000534,0,6
50000527,0,16
50000513,0,50
50000535,0,12
50000502,1,55
50000514,0,48
50000507,1,55
50000510,0,55
50000504,1,55
50000526,0,33
50000528,0,23
50000544,0,8
50000541,0,16
50000525,0,55
50000509,0,55
50000532,0,33
50000524,0,55
50000516,1,55
50000512,0,55
50000538,0,33
50000521,0,55
50000533,0,33
50000511,1,55
50000537,0,33
50000545,0,28
50000518,1,55
50000519,1,55
50000523,0,55
50000555,0,25
50000531,0,55
50000529,1,51
50000563,0,16
50000522,0,55
50000551,0,30
50000546,0,33
50000560,0,28
50000565,0,25
50000570,0,13
50000539,1,55
50000543,0,55
50000550,0,40
50000548,1,51
50000540,0,55
50000536,1,55
50000542,0,55
50000554,0,33
50000547,1,55
50000564,0,33
50000475,0,55
50000569,0,33
50000557,0,50
50000553,1,55
50000556,0,55
50000562,0,50
50000581,0,23
50000549,1,55
50000552,1,55
50000577,0,33
50000559,0,55
50000571,0,33
50000561,0,55
50000583,0,27
50000590,0,16
50000558,0,55
50000589,0,25
50000587,0,33
50000567,0,55
50000580,0,33
50000566,1,55
50000574,0,55
50000588,0,25
50000578,0,42
50000593,0,22
50000585,0,33
50000568,1,55
50000572,0,55
50000592,0,33
50000576,0,50
50000595,0,33
50000582,1,55
50000573,0,55
50000597,0,33
50000586,1,55
50000579,1,55
50000584,0,55
50000596,0,47
50000599,0,50
50000598,0,54
50000594,1,55
50000575,0,55
50000591,1,55
